,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG
30% ACWI - 70% AGG,0.101249458,0,0.119716331,0.009946133,0.011514087,0,0.001564999,-0.00437855,-0.00735402,-0.020647766,0,0.001162994,0.015153239,-0.010609271,-0.002027414,0.01746923,-0.003839994,0,0,0.074162039,0.050141724,0,0.260702821,0.010217744,-0.004667895,-0.030246358,0,-0.052859856,-0.00599365,0.003059544,0,-0.009349805,-0.001609061,0.003589727,0.067183331,0,0.038816444
30% ACWI - 70% AGGU,0.04028288,0,0,0.011509064,0.042228406,0.014965253,-0.025650694,0.011002746,0.011585896,0,0.000253023,0.019157006,0.036090482,0,0,0,0.002835152,0,0.001970928,0.003599535,0.118113749,0.002395392,0.100537108,0.071165807,0.026586475,0,0,-0.022563732,0,0.027503774,0,-0.008904744,0.002156235,-0.000974895,0.016396157,0.041809145,0.058833315
30% ACWI - 70% MUB,0.03300943,0.008452685,0.066477467,0.006280642,0.031262379,0,0,0,-0.028080249,0,0.023798543,0.034428663,0.008641366,0,0.009034123,0.01835746,0.008676965,0,0,0.056434774,0.020746614,0.008319029,0.173985311,0,0,0.000365659,0.088485028,0,0,0.014749469,0,-0.008417314,-0.022118812,0.022311803,0,0.002140431,0.03157696
3i Infrastructure Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051281395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50% ACWI - 50% AGG,0.165780829,0,0.126641268,0.034109169,0.022249287,0.008219664,0,0,0,0,0,0.017898451,0.016275375,0,0,0.006680739,0,0,0,0.067411266,0.031656041,0,0.171836946,0,0.003177136,0,0,-0.028879365,0,0,0,0,0,0.003382002,0,0.001391515,0.065094866
50% ACWI - 50% AGGU,0.10747686,0.001247014,0.002630006,0.033940506,0.0556109,0.031182744,0,0.005124355,0.010608661,0,0.012717012,0.042834122,0.030989715,0.004896772,0,0,0.007615447,0,0,0,0.076680108,0.015205612,0.076527429,0.064430673,0.020726529,0,0,-0.056224433,0,0.012153556,0,-0.001038918,0,7.64E-05,0.000954699,0.038604387,0.066513402
50% ACWI - 50% MUB,0.190710708,0.0085404,0.114609603,0.034682641,0.017905253,0.000708058,0,0,-0.023735353,0,0.019555013,0.031495205,0.003769688,0,0,0.00923117,0.008291836,0,0,0.041131507,0.036814184,0.021491589,0.131313642,0,0,0,0.052039571,0,0,0.001402277,0,-0.005631489,-0.020105383,0.020080266,0,0.000162534,0.032385168
60% ACWI - 40% AGG,0.227901151,0,0.145114312,0.04856192,0.020433398,0.011245363,2.01E-05,0,0,0,0,0.022881448,0.013026385,0,0,0.003197506,0,0,0,0.05364613,0.008026614,0.004705974,0.138146527,0,0.009086456,0,0,-0.040386928,0,0,0,0,0,0.005026187,0,0.00136381,0.068431119
60% ACWI - 40% AGGU,0.178195341,0.00257783,0.046164226,0.046294474,0.047183716,0.029859816,0,0,0.007696394,0,0.008202598,0.043897103,0.024404183,0.006090628,0,0,0.006274778,0,0,0,0.052585658,0.020468388,0.06040886,0.045972167,0.020757445,0,0,-0.058286835,0,0.007416352,0,0,0,0.002281188,0,0.03305103,0.071219427
60% ACWI - 40% MUB,0.251754523,0.008529076,0.137734454,0.048139446,0.015185489,0.004781296,0,0,-0.019876973,0,0.012583122,0.033990203,0.002302077,0,0,0.004099931,0.008014306,0,0,0.033418074,0.030591087,0.02757801,0.105505148,0,0.003878917,0,0.032927288,0,0,0,0,-0.001896014,-0.017168026,0.018083802,0,0.000137086,0.040703906
