,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
30% ACWI - 70% AGG,0.062230075,0,0.087676615,0.010771612,0.023032655,0.004226007,0.000470444,-8.55E-05,-0.00575052,-0.000919082,0,0.004590085,0.022008938,-0.005949333,0,0.024882869,0,0,0,0.086484775,0.03047789,0,0.248170641,0,0,0,0,-0.029866737,0,0.003496832,0,-0.003468125,-0.001003909,0.001462024,0.052741982,0,0.036996838,0,0,0
30% ACWI - 70% AGGU,0.06242624,0,0,0.016190875,0.035841416,0.008801524,-0.028496783,0.016801546,0.009967358,0,0,0.011641302,0.032293103,0,0,0,0.001094397,0,0,0.0066669,0.099224858,0.002268408,0.108946397,0.059215245,0.030599813,0,0,-0.01927378,0,0.030927004,0,-0.009860806,0.003388313,-0.000133718,0.016171608,0.036645249,0.051673082,0,0.029355478,0
30% ACWI - 70% MUB,0,0.020183927,0.050474339,0.009326749,0.035406343,0,0,0,-0.029368164,0,0.014324241,0.040511382,0.010325929,-0.001828356,0.01489205,0.039011342,0.015432023,0,0,0.066316236,0.003990284,0.011583064,0.169284491,0,0,0,0.077351763,0,0,0.012502361,0,-0.008443426,-0.010434194,0.021786155,0,0.000390219,0.023353402,0,0.030173006,0
3i Infrastructure Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058327011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50% ACWI - 50% AGG,0.174672637,0,0.12570803,0.036195109,0.023934163,0.006567281,0,0,-0.000197764,0,0,0.013555623,0.018128729,0,0,0.010626353,0,0,0,0.070370416,0.030488096,0,0.169656253,0,0.002873365,0,0,-0.02970738,0,0,0,0,0,0.003459615,0,0,0.056464244,0,0,0
50% ACWI - 50% AGGU,0.129605718,0.01017167,0,0.043117493,0.052416156,0.028942262,0,0.012790762,0.007926159,0,0,0.03213976,0.029861807,0.007421626,0,0,0.0025647,0,0,0.000791963,0.070561255,0.009717239,0.071896796,0.018632266,0.035866686,0.012669258,0,-0.012406771,0,0.017712281,0,0,0,0.000980198,0,0.034326443,0.066343015,0,0.011008275,0
50% ACWI - 50% MUB,0.129368329,0.016938998,0.099939633,0.034722192,0.026785595,0.003183269,0,0,-0.022167253,0,0.009094676,0.037686838,0.007472114,0,0.005278166,0.026814421,0.014743004,0,0,0.051292987,0.014664233,0.023720648,0.116721356,0,0.002273349,0,0.045494344,0,0,0,0,-0.002503026,-0.00772429,0.018147546,0,0.001385011,0.042408343,0,0.033458568,0
60% ACWI - 40% AGG,0.232878559,0,0.146793253,0.051653843,0.022989432,0.009581849,0,0,0,0,0,0.018054557,0.014664519,0,0,0.006982065,0,0,0,0.057391302,0.008065532,0.00430094,0.127404772,0,0.011602406,0,0,-0.03340362,0,0,0,0,0,0.005099018,0,0.000131701,0.061770501,0,0,0
60% ACWI - 40% AGGU,0.195774958,0.011635693,0.040435063,0.054721423,0.045271393,0.026762499,0,0.003353407,0.006129366,0,0,0.033663606,0.023861237,0.010582706,0,0,0.002524054,0,0,0,0.053664978,0.01551576,0.054623461,0.000953412,0.034299391,0.012454397,0,-0.014127823,0,0.009863766,0,0,0,0.003538187,0,0.030471797,0.07062995,0,0.011330302,0
60% ACWI - 40% MUB,0.203252468,0.014700514,0.128459501,0.049022106,0.02222162,0.005610591,0,0,-0.018099528,0,0.005437387,0.035377701,0.005675179,0,0,0.018261423,0.012834754,0,0,0.042153357,0.006555642,0.029095919,0.091301257,0,0.009290839,0,0.02898254,0,0,0,0,0,-0.005952691,0.01650914,0,0.00162052,0.04991381,0,0.029452809,0
70% ACWI - 30% AGG,0.298231883,0,0.1656504,0.06510314,0.021769005,0.011376523,0,0,0,0,0,0.023198904,0.010853555,0,0,0.003552674,0,0,0,0.045242938,0,0.010967761,0.08382033,0,0.014648124,0,0,-0.035097024,0,0,0,0,0,0.006917906,0,0,0.063122979,0,0,0
70% ACWI - 30% AGGU,0.260419275,0.008001192,0.087949266,0.065935157,0.037884191,0.024217201,0,0,0.00294857,0,0,0.034417516,0.01769939,0.011014506,0,0,0.002842898,0,0,0,0.031553778,0.021004541,0.034934166,0,0.031319053,0.005126256,0,-0.02742258,0,0.00245792,0,0,0,0.005579133,0,0.024635947,0.07239177,0,0.017715619,0
70% ACWI - 30% MUB,0.268116189,0.009712838,0.157831585,0.06263569,0.020341349,0.009907495,0,0,-0.012435256,0,0,0.035806499,0.00422453,0,0,0.009950297,0.011300969,0,0,0.03289467,0,0.033499949,0.063304734,0,0.014916704,0,0.010807249,-0.000260983,0,0,0,0,-0.003210326,0.015597956,0,0.0015086,0.059344221,0,0.025442339,0
80% ACWI - 20% AGG,0.362873172,0,0.184034268,0.078349497,0.020388736,0.013456019,0,0,0,0,0,0.028817358,0.006985514,0,0,0,0,0,0,0.032792378,0,0.016687004,0.03886154,0,0.015704501,0,0,-0.033102244,0,0,0,0,0,0.008977863,0,0,0.065259879,0,0,0
80% ACWI - 20% AGGU,0.321241582,0.004681014,0.133942435,0.077670435,0.032693689,0.022874792,0,0,0,0,0,0.036248855,0.011608245,0.011214475,0,0,0.002916655,0,0,0,0,0.025257224,0.012480105,0,0.031061377,0,0,-0.039655953,0,0,0,0,0,0.007605714,0,0.018080223,0.076905297,0,0.018127139,0
80% ACWI - 20% MUB,0.340238184,0.005070653,0.178889972,0.076024543,0.018272635,0.012204104,0,0,-0.007026926,0,0,0.037025629,0.002586325,0,0,0.00306944,0.00893736,0,0,0.024761452,0,0.034560178,0.03343468,0,0.014752812,0,0,-0.012583718,0,0,0,0,-0.003394541,0.014609565,0,0.000177391,0.062628307,0,0.02669484,0
abrdn-Emerg Mrkt Corp Bond I Acc HCHF,-0.149435528,-0.011133857,0,0.094577913,-0.021149119,-0.030137635,0,0.047174371,-0.044270625,-0.035369943,0,-0.037899247,0.045334768,-0.031065301,-0.036355213,0.025842024,0.004996801,0,0.089079229,-0.053025346,0,0.093484606,0.015905969,-0.546767833,-0.048128462,0.094306595,0.628721572,0.139339991,-0.040703495,0.033712398,-0.137795984,0,-0.034969996,0.001523835,0,0.049095648,-0.034587692,0.29339007,0,0.779515003
abrdn-Emerg Mrkt Corp Bond I Acc HEUR,-0.117589909,-0.033503354,0,0.098384715,-0.029391708,-0.013271042,0.016728423,0.065003044,-0.046399469,-0.039194134,-0.000521239,-0.044256019,0.053996674,-0.00864259,-0.042737587,0.024644771,0,0,0.051831676,-0.041410139,0,0.031458782,0,-0.473749033,-0.070990474,0.127585511,0.626450777,0.104116426,-0.073745708,0.017685845,-0.08413218,-0.047754216,-0.016844138,0.017367665,0,0.037822332,-0.02789497,0.244760947,0,0.734192311
abrdn-Emerg Mrkt Corp Bond I Acc USD,-0.11765257,-0.024995859,0,0.098915178,-0.03043421,-0.015952212,0.013274284,0.059728874,-0.046690173,-0.042495775,-0.003606035,-0.043214606,0.0516579,-0.007874709,-0.041959125,0.026287834,0,0,0.056642381,-0.034626914,0,0.034096134,0,-0.458731381,-0.074653444,0.127885461,0.61537411,0.107148458,-0.069002841,0.013618131,-0.073867904,-0.054690915,-0.015030556,0.018774625,0,0.035250492,-0.027595049,0.250898641,0,0.728549209
abrdn-Emerg Mrkt Corp Bond I M Inc HGBP,-0.190774934,0,-0.024206556,0.076347329,-0.024925486,-0.031066437,-0.004368256,0.024472583,-0.033392935,0,-0.020352738,-0.036687497,0.075151124,-0.058491103,-0.018076378,0.029655323,0,0,0.096923538,-0.119386256,0,0.081822818,0.185654241,-0.56591262,-0.009369973,0.108399878,0.578606188,0.178812929,0,0.042218422,-0.210167571,0,0,0.00029449,-0.092069191,0.092824144,-0.011658597,0.325510341,0,0.660211025
Acasta Global Fund Class D,0,0,0,0,0,-0.050609987,0.05784963,0,-0.016388601,-0.094916319,0,0.004290853,0.017881406,0,0,0.000308325,0,-0.008547327,0,0,-0.112265606,0.034678464,0,-0.133881416,-0.032779308,0,0.080575047,0,0,-0.027523798,0.017352784,-0.008528752,-0.006083802,0,0.235808243,0,0,0.440352241,0,0.227012638
ACF FX&Futures Overlay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return CHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return GBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return USD Class C,0,0.005618703,0,-0.054713256,0.077705245,-0.024308788,0,0.020425831,-0.00829108,-0.051254069,0.044457135,0.016182703,-0.001746317,0,-0.034947606,0,0.019188784,0,0.101512357,-0.003870054,0,0,0,-0.007473668,0.029542505,-0.010626247,-0.038499234,0,-0.026591991,0.000272398,0,0.012903027,0.011093271,-0.007611723,0,-0.05276049,-0.182541708,0.606213213,0,-0.090315149
AIA Hedge Fund Strategies - Equity Hedge,0,0,0.181904702,0.018449398,0,0.159450508,-0.045589232,0.072610956,-0.112719073,0,0,0,-0.058113788,-0.028915116,-0.178906318,-0.017210358,0.135822097,0,-0.071427907,0.077882985,0,0,0,0,-0.021118932,-0.144999495,0,0,0,0,0,0.030572092,0,0.011230441,0,0,0,0.8405407,0,0
AIA Hedge Fund Strategies - Equity Hedge CHF,0,0,0,0,0,0,0,0,0,0,0,0.036288799,0,0,0,0,0.046583415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Equity Hedge EUR,0,0,0,0.068353977,0.004892919,0.119091527,0,0,-0.037387705,0,0,0.101115471,0,0,-0.010410355,0,0.114432767,0,0,0,0,0,0,0,-0.073441388,0,0,0,0,0,0,0,0,0.016377932,0,0,0,0.272192643,0,0
AIA Hedge Fund Strategies - Equity Hedge GBP,0,0,0,0.065801082,0.008918334,0.116233311,0,0,-0.033060268,0,0,0.10179042,0,0,-0.007527609,0,0.111592441,0,0,0,0,0,0,0,-0.077333154,0,0,0,0,0,0,0,0,0.015622795,0,0,0,0.269449511,0,0
AIA Hedge Fund Strategies - Equity Hedge USD,0,0,0,0.045482131,0,0,0.012589605,0,0,0,0,0.082266862,0,0,0,0.026364862,0.055132739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043207446,0,0.055130494,0,0,0,0
AIA Hedge Fund Strategies - Equity Hedge USD Class C,0,0,0.027692862,0.005100768,0,0,0.031465138,0.021850479,-0.020746809,0,-0.058635361,0,0.008324491,0,0,0.032039909,0.05957625,0,-0.073056692,-0.006393284,0,0.054795638,0,0,-0.005247207,0.095285063,0,0.209106458,0,0,0,0.0236959,0,0.011384019,0,0.04651241,0,0.616615588,0,0
AIA ICAV Absolute Return Composite (CHF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25E-18,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (EUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (GBP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49E-18,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (USD Class C),0,0.0002135,0,-0.063850101,0.061520912,-0.020136657,0,0,-0.005805111,-0.0394251,0.059649799,0.007687741,0,0,-0.020558201,0,0.010439411,0,0.049610854,0,0,0,0,-0.037442362,0.009745454,-0.021162619,-0.010047642,0,0,0,-0.005168254,0.016903441,0.018336175,-0.007820584,0,-0.037669735,-0.119484693,0.572700548,0,-0.058338556
AIA ICAV Absolute Return Composite (USD),0,0,0,-0.053682998,0.075076868,-0.020166972,0,0.013306981,-0.008050249,-0.047009545,0.046410352,0.016928613,-0.00226114,0,-0.029982301,0,0.019232422,0,0.093446581,-0.001505137,0,0,0,-0.021461667,0.029383942,-0.009254236,-0.034791204,0,-0.023582128,0.000209724,0,0.016912583,0.007284746,-0.008980206,0,-0.052502734,-0.178881696,0.599432304,0,-0.065253538
AIA ICAV Alternative Credit Composite (CHF A1 Acc),0,0,0,0.013522144,0,0,0.014873675,0,0,0,0,0.002668613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008761517,0,0,0,0,0,0,0.015826463,0,0.021199371,0,0,0,0
AIA ICAV Alternative Credit Composite (EUR A1 Acc),0,0,0,0.001677102,0,-0.013386184,0.003622759,0,-0.001337477,-0.019537007,-0.002034503,0,-0.001384004,0,0,0,0,-0.017441573,0,-0.03236766,0,0,0,0,0,0,0.072947733,0.00777853,0,0,0,0,-0.009720863,0.002953462,0,0.021285208,0,0.137189017,0,0.082163778
AIA ICAV Alternative Credit Composite (GBP A1 Acc),0,0,0,0,0,0,0.019051233,0,0,0,0,0,0,0,0,0,0,0,0,-0.010689277,0,0,0,0,0,0.021530151,0.014208073,0,0,0,0,0,0,0.012633614,0,0.024976047,0,0,0,0
