,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
US_Equity,0.00176303,0.000899907,0.001017992,0.00082779,0.001739483,0.000623307,0.0012256,0.000850294,0.000773543,0.001339327,0.000529153,0.001365188,0.00138125,0.001050184,0.000701359,0.001377292,0.001532438,0.001361723,0.000815121,0.00051346,0.000378303,0.000420864,0.000497582,0.000474941,0.000626247,0.00052359,0.000610379,-9.99E-05,0.000124139,0.000167244,0.000324876,0.000270153,7.63E-05,0.000513978,0.000244525,0.0011208,0.001440842,0.000465143,0.000886041,0.000326905
EU_Equity,0.000899907,0.001957039,0.001389836,0.000941556,0.000900745,0.000919005,0.001303447,0.001138381,0.000782821,0.001312496,0.000986561,0.001131066,0.00107223,0.001532239,0.001061698,0.001144672,0.001056777,0.000980279,0.000813362,0.000662074,0.000746532,0.000700356,0.000572986,0.000457835,0.000925702,0.000812523,0.0006656,-0.000487852,0.00050767,0.000656892,0.000572333,0.00012066,0.000642489,-0.000253971,0.000355541,0.001262338,0.000990682,0.000331463,0.000547527,0.000294068
Intl_Developed,0.001017992,0.001389836,0.001689485,0.001001978,0.001103782,0.000841581,0.001288752,0.001109997,0.000764367,0.001340165,0.000882194,0.001199598,0.00115876,0.001487692,0.001004332,0.001247647,0.001151661,0.001058136,0.000799441,0.000674916,0.000753911,0.000699799,0.000584953,0.0004693,0.00097335,0.000809228,0.00067987,-0.000452259,0.000498889,0.000637473,0.000577375,0.00013245,0.00055885,-0.000179823,0.000340871,0.001273394,0.001105785,0.000383549,0.000633197,0.000288414
EM_Equity,0.00082779,0.000941556,0.001001978,0.001538554,0.001057501,0.000468299,0.000888871,0.000822239,0.000648465,0.000982892,0.000495406,0.00098249,0.00110913,0.001205692,0.000751316,0.000970973,0.000793159,0.000802315,0.00049638,0.00058713,0.00057668,0.000611141,0.000495028,0.000363941,0.000730758,0.000604859,0.00060335,-0.000348125,0.000434663,0.00038567,0.000493661,0.000391072,0.000546586,0.000348206,0.000266022,0.000896538,0.000857223,0.000336022,0.000549858,0.000240654
Global_Tech,0.001739483,0.000900745,0.001103782,0.001057501,0.003427909,0.000391516,0.001084984,0.000780216,0.000358459,0.001452288,0.000365817,0.001527726,0.001781245,0.000897062,0.000587313,0.00137148,0.001827314,0.001633298,0.000732266,0.000593948,0.000448998,0.000497027,0.000586263,0.000540308,0.000800933,0.000661352,0.000679018,-0.000147391,0.000164689,3.43E-05,0.000300269,0.000176736,-8.11E-05,0.000606562,0.000244404,0.001048215,0.00173588,0.000511015,0.001176754,0.000409812
Global_Healthcare,0.000623307,0.000919005,0.000841581,0.000468299,0.000391516,0.001531513,0.000828923,0.000598834,0.000759333,0.000728882,0.000728551,0.000656921,0.000585545,0.001068319,0.000587844,0.000975628,0.000667538,0.000777558,0.000801855,0.000699603,0.000511421,0.000449008,0.000462858,0.000331763,0.000606534,0.00048256,0.000488381,-0.000272876,0.000298416,0.0005045,0.000381384,0.000144679,0.000325291,-0.00017015,0.000323105,0.001015253,0.000697664,0.000207406,0.000312932,0.00013203
Global_Financials,0.0012256,0.001303447,0.001288752,0.000888871,0.001084984,0.000828923,0.002144545,0.001193715,0.001266832,0.001496445,0.000826205,0.001322209,0.001243984,0.001443481,0.001025883,0.001559784,0.001387748,0.001213523,0.00096407,0.00055368,0.000519448,0.000540135,0.000537801,0.000495485,0.000691761,0.000638425,0.000686758,-0.000220664,0.000269569,0.000468712,0.000488205,0.000335001,0.000429364,0.000337442,0.000297167,0.00138083,0.001292943,0.000484882,0.000758637,0.000335709
Global_Infrastructure,0.000850294,0.001138381,0.001109997,0.000822239,0.000780216,0.000598834,0.001193715,0.001552299,0.000863315,0.001221295,0.000836072,0.000972022,0.000866209,0.001305348,0.00121057,0.001056442,0.000925853,0.000849132,0.000747042,0.000538508,0.000620953,0.000572509,0.000496327,0.000392783,0.000811498,0.00060646,0.000570718,-0.000324223,0.000398775,0.000526758,0.000523924,0.00020829,0.000611698,-0.00015747,0.000286885,0.001163181,0.000931957,0.000321964,0.000493927,0.000264888
Global Energy,0.000773543,0.000782821,0.000764367,0.000648465,0.000358459,0.000759333,0.001266832,0.000863315,0.00335652,0.000957319,0.000490723,0.000568137,0.000557674,0.001191936,0.00071665,0.001459294,0.000592328,0.000754335,0.000755548,0.000212782,2.51E-05,0.000206378,0.000311386,0.000337071,-0.000112481,0.00015202,0.000423362,8.23E-05,6.32E-05,-1.44E-05,0.000326925,0.001284531,0.000146982,0.001963897,0.000243377,0.000864158,0.000741247,0.000347494,0.000420649,0.00021606
Global Industrials,0.001339327,0.001312496,0.001340165,0.000982892,0.001452288,0.000728882,0.001496445,0.001221295,0.000957319,0.002118688,0.000836228,0.001423871,0.001298404,0.001472843,0.001132373,0.001478483,0.001553757,0.001313641,0.000931163,0.000598735,0.000614977,0.00061002,0.000573795,0.000526269,0.000913586,0.000721656,0.000707788,-0.000281522,0.000329748,0.000465416,0.000537909,0.000235866,0.000381118,0.000227414,0.000302598,0.001352487,0.001418892,0.000473513,0.000823659,0.0003593
Global Consumer Staples,0.000529153,0.000986561,0.000882194,0.000495406,0.000365817,0.000728551,0.000826205,0.000836072,0.000490723,0.000836228,0.001146195,0.000703622,0.000495542,0.001024921,0.000880893,0.000736973,0.000655866,0.000623154,0.000685825,0.000562979,0.000566722,0.000454356,0.00041113,0.00029125,0.000728088,0.000478453,0.000437608,-0.000287023,0.000315838,0.000574161,0.000414393,-2.27E-05,0.000433003,-0.000613075,0.000282148,0.000973267,0.000622155,0.000166463,0.000265542,0.000148473
Global Consumer Discretionary,0.001365188,0.001131066,0.001199598,0.00098249,0.001527726,0.000656921,0.001322209,0.000972022,0.000568137,0.001423871,0.000703622,0.002378972,0.001477836,0.001384642,0.000706763,0.00138932,0.001461876,0.001363064,0.000809089,0.000598336,0.000548092,0.000552571,0.000567426,0.000521257,0.000830172,0.000589398,0.000688639,-0.000239232,0.000171589,0.000396637,0.000378173,1.95E-05,0.000205367,-7.43E-05,0.000290249,0.001318924,0.001461581,0.000496918,0.000808089,0.000334694
Global Comm Services,0.00138125,0.00107223,0.00115876,0.00110913,0.001781245,0.000585545,0.001243984,0.000866209,0.000557674,0.001298404,0.000495542,0.001477836,0.00228086,0.001174768,0.000675498,0.00131725,0.001546992,0.001339873,0.000710796,0.000482239,0.000468219,0.000569818,0.000511491,0.000470694,0.000641802,0.000628185,0.000654172,-0.000207155,0.000277311,0.000232829,0.000434851,0.000284793,0.000426545,0.000417027,0.000261776,0.001004038,0.001385252,0.000498683,0.000915075,0.000334164
Global Materials,0.001050184,0.001532239,0.001487692,0.001205692,0.000897062,0.001068319,0.001443481,0.001305348,0.001191936,0.001472843,0.001024921,0.001384642,0.001174768,0.002562164,0.001236313,0.001522965,0.001067527,0.001129144,0.000914057,0.000822343,0.000825944,0.000795034,0.000676117,0.000530067,0.001061485,0.00079796,0.000799979,-0.000458025,0.000531405,0.000748258,0.000719888,0.000373545,0.000734483,-0.000205033,0.000414602,0.001551488,0.00115807,0.000429239,0.000560663,0.000283634
Global Utilities,0.000701359,0.001061698,0.001004332,0.000751316,0.000587313,0.000587844,0.001025883,0.00121057,0.00071665,0.001132373,0.000880893,0.000706763,0.000675498,0.001236313,0.001797426,0.000876445,0.000749376,0.000707383,0.000739716,0.000618384,0.000626628,0.000569852,0.000499257,0.000354613,0.000851683,0.000540849,0.000565256,-0.000279099,0.000393068,0.000582071,0.000551562,0.000191292,0.000727154,-0.000368029,0.000315025,0.001080598,0.000771586,0.000238687,0.000356943,0.000224258
Style_Value,0.001377292,0.001144672,0.001247647,0.000970973,0.00137148,0.000975628,0.001559784,0.001056442,0.001459294,0.001478483,0.000736973,0.00138932,0.00131725,0.001522965,0.000876445,0.002330596,0.001396906,0.001359696,0.001002242,0.000742151,0.000544919,0.000561568,0.000630971,0.000556626,0.000755342,0.000612832,0.000748766,-0.000212976,0.000248294,0.000439242,0.000478609,0.000480735,0.000211898,0.000582015,0.000366724,0.001455191,0.001435575,0.000525715,0.000809196,0.000308181
Style_Momentum,0.001532438,0.001056777,0.001151661,0.000793159,0.001827314,0.000667538,0.001387748,0.000925853,0.000592328,0.001553757,0.000655866,0.001461876,0.001546992,0.001067527,0.000749376,0.001396906,0.002662464,0.001486613,0.000919075,0.000414244,0.000418399,0.000439432,0.00044537,0.00047639,0.000687822,0.000610614,0.000588934,-0.000122945,0.000180158,0.000214309,0.000399393,0.000128452,9.31E-05,0.00027364,0.000200988,0.001133992,0.001573353,0.000493475,0.000967622,0.000332696
Style_Quality,0.001361723,0.000980279,0.001058136,0.000802315,0.001633298,0.000777558,0.001213523,0.000849132,0.000754335,0.001313641,0.000623154,0.001363064,0.001339873,0.001129144,0.000707383,0.001359696,0.001486613,0.001726247,0.000874977,0.000582467,0.00043724,0.000457146,0.000521731,0.00047895,0.000692361,0.000555276,0.000629396,-0.000137086,0.000159549,0.000244824,0.000357888,0.000211918,0.000111346,0.000312639,0.000274187,0.001183913,0.001407348,0.000433244,0.000834342,0.000314101
Style_MinVol,0.000815121,0.000813362,0.000799441,0.00049638,0.000732266,0.000801855,0.00096407,0.000747042,0.000755548,0.000931163,0.000685825,0.000809089,0.000710796,0.000914057,0.000739716,0.001002242,0.000919075,0.000874977,0.001029581,0.000586024,0.000415892,0.000374366,0.000441881,0.000348795,0.00057859,0.000400229,0.00048746,-0.000139275,0.000177647,0.000371195,0.000342781,0.000177489,0.000275946,3.70E-05,0.000274665,0.001002582,0.000872562,0.000253701,0.000471705,0.000202863
Rates_US_Long,0.00051346,0.000662074,0.000674916,0.00058713,0.000593948,0.000699603,0.00055368,0.000538508,0.000212782,0.000598735,0.000562979,0.000598336,0.000482239,0.000822343,0.000618384,0.000742151,0.000414244,0.000582467,0.000586024,0.001574061,0.000676585,0.000508967,0.000688136,0.00034774,0.001016874,0.000440006,0.000586368,-0.000330829,0.00026989,0.000661112,0.000333156,-0.000117688,0.000160238,-0.000601209,0.000391479,0.001015086,0.00058881,0.000134875,0.000237951,0.000127572
Rates_Developed,0.000378303,0.000746532,0.000753911,0.00057668,0.000448998,0.000511421,0.000519448,0.000620953,2.51E-05,0.000614977,0.000566722,0.000548092,0.000468219,0.000825944,0.000626628,0.000544919,0.000418399,0.00043724,0.000415892,0.000676585,0.000924205,0.000547033,0.000454822,0.000275495,0.000993195,0.00060665,0.000429689,-0.000484813,0.000480163,0.00069663,0.000407655,-0.00022473,0.000441154,-0.000797249,0.000264574,0.000758226,0.000471671,0.000135093,0.000217989,0.00012404
Rates_EM,0.000420864,0.000700356,0.000699799,0.000611141,0.000497027,0.000449008,0.000540135,0.000572509,0.000206378,0.00061002,0.000454356,0.000552571,0.000569818,0.000795034,0.000569852,0.000561568,0.000439432,0.000457146,0.000374366,0.000508967,0.000547033,0.000664387,0.000377443,0.000247072,0.000682795,0.000514853,0.000412414,-0.00035667,0.000389503,0.000481513,0.000393397,-3.07E-06,0.000353113,-0.000351801,0.000208533,0.000657479,0.000477367,0.00016057,0.000223762,0.000110442
Credit_US_IG,0.000497582,0.000572986,0.000584953,0.000495028,0.000586263,0.000462858,0.000537801,0.000496327,0.000311386,0.000573795,0.00041113,0.000567426,0.000511491,0.000676117,0.000499257,0.000630971,0.00044537,0.000521731,0.000441881,0.000688136,0.000454822,0.000377443,0.000575561,0.000287116,0.000659439,0.000368784,0.000430484,-0.000227943,0.000203329,0.0004031,0.000255299,1.81E-05,0.000169803,-0.000175364,0.000251527,0.000724112,0.000548722,0.000156114,0.000274915,0.000144915
Credit_US_HY,0.000474941,0.000457835,0.0004693,0.000363941,0.000540308,0.000331763,0.000495485,0.000392783,0.000337071,0.000526269,0.00029125,0.000521257,0.000470694,0.000530067,0.000354613,0.000556626,0.00047639,0.00047895,0.000348795,0.00034774,0.000275495,0.000247072,0.000287116,0.000305917,0.000413677,0.00028796,0.000304322,-0.000124161,0.00011312,0.000222591,0.000176589,8.56E-05,9.24E-05,6.57E-05,0.000161438,0.000534268,0.000506465,0.000154349,0.000280376,0.000140763
Credit_EU_IG,0.000626247,0.000925702,0.00097335,0.000730758,0.000800933,0.000606534,0.000691761,0.000811498,-0.000112481,0.000913586,0.000728088,0.000830172,0.000641802,0.001061485,0.000851683,0.000755342,0.000687822,0.000692361,0.00057859,0.001016874,0.000993195,0.000682795,0.000659439,0.000413677,0.002010256,0.000814075,0.000617396,-0.000595234,0.000549202,0.000873021,0.00049448,-0.000400112,0.000504822,-0.001140614,0.000361085,0.001061397,0.000753159,0.000179688,0.000390965,0.000213085
Credit_EU_HY,0.00052359,0.000812523,0.000809228,0.000604859,0.000661352,0.00048256,0.000638425,0.00060646,0.00015202,0.000721656,0.000478453,0.000589398,0.000628185,0.00079796,0.000540849,0.000612832,0.000610614,0.000555276,0.000400229,0.000440006,0.00060665,0.000514853,0.000368784,0.00028796,0.000814075,0.000902649,0.000419123,-0.000450659,0.000470577,0.00050912,0.000380715,-9.73E-05,0.000391971,-0.000364512,0.000203319,0.000710797,0.000586981,0.000193582,0.000384286,0.000181808
Credit_EM,0.000610379,0.0006656,0.00067987,0.00060335,0.000679018,0.000488381,0.000686758,0.000570718,0.000423362,0.000707788,0.000437608,0.000688639,0.000654172,0.000799979,0.000565256,0.000748766,0.000588934,0.000629396,0.00048746,0.000586368,0.000429689,0.000412414,0.000430484,0.000304322,0.000617396,0.000419123,0.000604497,-0.000212217,0.000210036,0.000370671,0.000297494,0.000102818,0.000210433,-6.36E-06,0.000233712,0.00077717,0.000655106,0.000214621,0.000349963,0.000167362
FX_USD,-9.99E-05,-0.000487852,-0.000452259,-0.000348125,-0.000147391,-0.000272876,-0.000220664,-0.000324223,8.23E-05,-0.000281522,-0.000287023,-0.000239232,-0.000207155,-0.000458025,-0.000279099,-0.000212976,-0.000122945,-0.000137086,-0.000139275,-0.000330829,-0.000484813,-0.00035667,-0.000227943,-0.000124161,-0.000595234,-0.000450659,-0.000212217,0.000585628,-0.000405055,-0.000442821,-0.000225287,0.000201199,-0.000346794,0.000475239,-0.000139656,-0.00035902,-0.000157628,-7.23E-05,-7.88E-05,-7.35E-05
FX_EUR,0.000124139,0.00050767,0.000498889,0.000434663,0.000164689,0.000298416,0.000269569,0.000398775,6.32E-05,0.000329748,0.000315838,0.000171589,0.000277311,0.000531405,0.000393068,0.000248294,0.000180158,0.000159549,0.000177647,0.00026989,0.000480163,0.000389503,0.000203329,0.00011312,0.000549202,0.000470577,0.000210036,-0.000405055,0.000596164,0.000404114,0.000320504,-6.13E-05,0.000489852,-0.000418448,0.000129707,0.000329821,0.000165363,7.61E-05,0.000111023,6.37E-05
FX_JPY,0.000167244,0.000656892,0.000637473,0.00038567,3.43E-05,0.0005045,0.000468712,0.000526758,-1.44E-05,0.000465416,0.000574161,0.000396637,0.000232829,0.000748258,0.000582071,0.000439242,0.000214309,0.000244824,0.000371195,0.000661112,0.00069663,0.000481513,0.0004031,0.000222591,0.000873021,0.00050912,0.000370671,-0.000442821,0.000404114,0.00106224,0.000379743,-0.000333101,0.000418695,-0.001033946,0.000250997,0.000728024,0.000270772,8.41E-05,5.79E-05,5.60E-05
