Tier4,Weight,Portfolio Name
AlTi-Allianz Private Debt,0.0254,AlTi Asian Conservative Traditional
Apollo Debt Solutions Class I,0.0344,AlTi Asian Conservative Traditional
BlackRock ICS USD Liquidity Prem T0 Acc,0.1130,AlTi Asian Conservative Traditional
Dimensional Emerg Mkt Trgtd Val USD Acc,0.0147,AlTi Asian Conservative Traditional
Dimensional Emerging Mkts Val A USD Acc,0.0148,AlTi Asian Conservative Traditional
Dimensional US High Profitability ETF,0.0223,AlTi Asian Conservative Traditional
Horizon Trade Finance - European A3,0.0156,AlTi Asian Conservative Traditional
Horizon Trade Finance - North American A1,0.0167,AlTi Asian Conservative Traditional
iShares € Govt Bond 20y TgtDur ETF € Acc,0.0303,AlTi Asian Conservative Traditional
iShares 20+ Year Treasury Bond ETF,0.0339,AlTi Asian Conservative Traditional
iShares Bitcoin Trust ETF,0.0192,AlTi Asian Conservative Traditional
iShares China Government Bond ETF RMB,0.0238,AlTi Asian Conservative Traditional
iShares Core S&P 500 ETF USD Acc,0.0723,AlTi Asian Conservative Traditional
iShares Physical Silver ETC,0.0359,AlTi Asian Conservative Traditional
iShares Gold Trust,0.1336,AlTi Asian Conservative Traditional
L&G Multi-Strategy Enhanced Cmdts ETF,0.0127,AlTi Asian Conservative Traditional
Pictet-Sovereign Short-Term MM USD I,0.0548,AlTi Asian Conservative Traditional
Premia China Treasury and Policy Bank Bond Long Duration ETF USD Hedged,0.0236,AlTi Asian Conservative Traditional
Sprott Physical Uranium Trust Units,0.0253,AlTi Asian Conservative Traditional
Yotta Absolute Fund,0.2131,AlTi Asian Conservative Traditional
Yotta Value Fund,0.0646,AlTi Asian Conservative Traditional
ACF FX&Futures Overlay,0.1586,AlTi Asian Quasi-Endowment LT Growth
Arcus Japan A Acc JPY,0.0248,AlTi Asian Quasi-Endowment LT Growth
Arcus Japan Value Fund - Relative,0.0150,AlTi Asian Quasi-Endowment LT Growth
Cameco Corp,0.0222,AlTi Asian Quasi-Endowment LT Growth
Dimensional Emerging Mkts Val A USD Acc,0.0726,AlTi Asian Quasi-Endowment LT Growth
Dimensional US High Profitability ETF,0.0304,AlTi Asian Quasi-Endowment LT Growth
FengHe Asia Fund,0.0587,AlTi Asian Quasi-Endowment LT Growth
GQG Partners Emerging Mkts Eq I USD Acc,0.0253,AlTi Asian Quasi-Endowment LT Growth
Invesco NASDAQ 100 ETF,0.0209,AlTi Asian Quasi-Endowment LT Growth
iShares Core MSCI World ETF USD Acc,0.0813,AlTi Asian Quasi-Endowment LT Growth
iShares Core S&P 500 ETF USD Acc,0.0257,AlTi Asian Quasi-Endowment LT Growth
Life Cycle Global Equity UCITS C USD Acc,0.0397,AlTi Asian Quasi-Endowment LT Growth
Pac Nrth of Sth Glb EM Eq Z USD Acc,0.0299,AlTi Asian Quasi-Endowment LT Growth
Pictet-Sovereign Short-Term MM USD I,0.0136,AlTi Asian Quasi-Endowment LT Growth
SHILLER US SECTOR INDEX SC E USD ACC,0.0158,AlTi Asian Quasi-Endowment LT Growth
The Children's Investment Fund G - WEF,0.0594,AlTi Asian Quasi-Endowment LT Growth
Tracker Fund of Hong Kong ETF,0.0469,AlTi Asian Quasi-Endowment LT Growth
Viking Global Equities,0.0323,AlTi Asian Quasi-Endowment LT Growth
Yotta Absolute Fund,0.0979,AlTi Asian Quasi-Endowment LT Growth
Yotta Value Fund,0.1290,AlTi Asian Quasi-Endowment LT Growth
