Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
30% ACWI - 70% AGG,US Dollar,-,-,-,-,-,-,-
30% ACWI - 70% AGGU,US Dollar,-,-,-,-,-,-,-
30% ACWI - 70% MUB,US Dollar,-,-,-,-,-,-,-
3i Infrastructure Ord,Pound Sterling,Diversified,Inflation Protection Strategies,Real Assets,Listed Infrastructure,Global Equities,-,-
50% ACWI - 50% AGG,US Dollar,-,-,-,-,-,-,-
50% ACWI - 50% AGGU,US Dollar,-,-,-,-,-,-,-
50% ACWI - 50% MUB,US Dollar,-,-,-,-,-,-,-
60% ACWI - 40% AGG,US Dollar,-,-,-,-,-,-,-
60% ACWI - 40% AGGU,US Dollar,-,-,-,-,-,-,-
60% ACWI - 40% MUB,US Dollar,-,-,-,-,-,-,-
70% ACWI - 30% AGG,US Dollar,-,-,-,-,-,-,-
70% ACWI - 30% AGGU,US Dollar,-,-,-,-,-,-,-
70% ACWI - 30% MUB,US Dollar,-,-,-,-,-,-,-
80% ACWI - 20% AGG,US Dollar,-,-,-,-,-,-,-
80% ACWI - 20% AGGU,US Dollar,-,-,-,-,-,-,-
80% ACWI - 20% MUB,US Dollar,-,-,-,-,-,-,-
abrdn-Emerg Mrkt Corp Bond I Acc HCHF,Swiss Franc,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,-,-
abrdn-Emerg Mrkt Corp Bond I Acc HEUR,Euro,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_EUR,-
abrdn-Emerg Mrkt Corp Bond I Acc USD,US Dollar,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_EM Debt,-
abrdn-Emerg Mrkt Corp Bond I M Inc HGBP,Pound Sterling,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_GBP,-
Acasta Global Fund Class D,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
ACF FX&Futures Overlay,US Dollar,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_US Cash,-
AIA Hedge Fund Strategies - Absolute Return,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA Hedge Fund Strategies - Absolute Return CHF,Swiss Franc,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,-,-
AIA Hedge Fund Strategies - Absolute Return EUR,Euro,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_EUR,-
AIA Hedge Fund Strategies - Absolute Return GBP,Pound Sterling,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_GBP,-
AIA Hedge Fund Strategies - Absolute Return USD,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA Hedge Fund Strategies - Absolute Return USD Class C,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA Hedge Fund Strategies - Equity Hedge,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA Hedge Fund Strategies - Equity Hedge CHF,Swiss Franc,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,-,-
AIA Hedge Fund Strategies - Equity Hedge EUR,Euro,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_EUR,-
AIA Hedge Fund Strategies - Equity Hedge GBP,Pound Sterling,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_GBP,-
AIA Hedge Fund Strategies - Equity Hedge USD,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA Hedge Fund Strategies - Equity Hedge USD Class C,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA ICAV Absolute Return Composite (CHF),Swiss Franc,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,-,-
AIA ICAV Absolute Return Composite (EUR),Euro,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_EUR,-
AIA ICAV Absolute Return Composite (GBP),Pound Sterling,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_GBP,-
AIA ICAV Absolute Return Composite (USD Class C),US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA ICAV Absolute Return Composite (USD),US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA ICAV Alternative Credit Composite (CHF A1 Acc),Swiss Franc,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,-,-
AIA ICAV Alternative Credit Composite (EUR A1 Acc),Euro,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Alternative Credit_EUR,-
AIA ICAV Alternative Credit Composite (GBP A1 Acc),Pound Sterling,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Alternative Credit_GBP,-
AIA ICAV Alternative Credit Composite (USD A1 Acc),US Dollar,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Credit Direc HF,-
AIA ICAV Equity Hedge Composite (CHF),Swiss Franc,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,-,-
AIA ICAV Equity Hedge Composite (GBP),Pound Sterling,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_GBP,-
AIA ICAV Equity Hedge Composite (USD),US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA ICAV Hedged Equity Composite (EUR),Euro,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_EUR,-
AKO European Long Only Fund A1,US Dollar,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Pan Europe,-
AKO European Long-Only Fund,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AKO Fund Ltd,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AKO Fund Ltd A2,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
