Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Cash - US,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Govt Bonds - US,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
0.88000,0.48212,0.66213,0.84872,-22.52429,0.13858,0.17000,-0.80990,-2.62148,1.76070,-1.89426,0.47229,-1.26783,-0.93758,0.77286,1.87347,0.04973,1.62914,0.43694,1.25082,2.26000,4.08397,-1.48417,-2.64706,1.68022,0.33793,2.33871,3.06227
-0.40000,0.18493,0.10318,-1.36474,-30.53689,0.14761,0.24000,-1.49167,-4.53906,-4.24695,-1.56697,-0.57843,-3.53130,-0.12453,0.23453,-0.83369,0.09824,0.34740,-0.33578,0.13841,2.61000,-0.47575,-2.30411,-1.24931,0.70507,0.61184,2.39481,-0.04062
0.45000,-0.09978,-0.02886,1.89089,22.15709,0.14867,0.62000,2.57321,3.53104,-2.50513,2.85202,3.06524,-2.32945,-0.75810,-0.46984,-0.01226,1.67734,0.36490,0.73510,0.14957,0.46000,2.33821,1.07063,3.66808,2.33852,1.25836,0.89634,3.70466
0.33000,0.37453,0.56851,-1.89846,-8.82918,0.15668,0.00000,-2.31730,-3.76728,-1.97978,-2.23577,0.69577,-2.04429,-0.09046,0.74786,0.58098,0.70724,0.53139,0.53610,0.15599,1.75000,0.15504,-0.52964,-3.10680,2.13060,0.92936,1.58362,3.19198
-0.26000,-0.46766,-0.61908,-1.23940,-16.42105,0.16774,0.55000,2.03185,-0.57911,2.10572,0.96525,0.60967,-0.60870,-1.03119,-0.92213,-0.70232,0.52584,-0.91656,-0.29926,-0.68118,-1.39000,-1.50198,3.45242,0.35627,0.79019,0.78653,-2.11540,0.59483
-3.20000,-0.13496,-0.64442,-8.23426,-15.11335,0.16596,-0.88000,-2.51531,-8.76049,-2.52525,-8.13355,-7.43334,2.09974,-0.79797,-0.40551,-4.15967,-1.97786,-1.61253,-1.53251,-0.55960,-1.50000,-8.02060,-8.94903,-7.72132,-3.95880,-0.93268,-3.37034,-6.91043
-0.37000,0.35537,0.52363,3.43090,-25.96439,0.17550,-0.73000,-0.49063,4.90296,-0.90674,0.49632,1.58569,0.34276,0.36889,0.88624,-0.46425,-0.40134,0.09107,-0.17463,1.11101,2.96000,1.72000,0.91174,-0.16831,1.05992,-0.37596,3.77513,1.85493
-2.55000,1.48628,1.98020,-2.89833,-20.54108,0.18752,-1.36000,1.90326,-3.49904,-7.53813,-5.35059,-7.20912,4.95303,2.56253,1.49554,-3.21137,-2.09046,1.07016,1.68097,1.34650,-4.62000,-8.31298,-7.69219,-5.09349,-3.96709,-1.40318,-6.45139,-8.79361
3.50000,1.11067,0.91088,7.86241,0.63052,0.19513,1.96000,4.78299,10.34306,5.70217,6.63491,8.04239,2.84784,1.17460,1.01420,4.09828,4.94451,0.78637,2.37960,0.37601,7.06000,10.61105,7.08227,6.39059,6.13952,4.02442,11.40051,8.00656
1.31000,0.00000,-0.11298,3.37130,11.77945,0.17692,0.83000,0.39820,-1.53132,1.20375,2.53669,2.46682,-0.47468,-0.88548,-0.25696,1.37592,1.21432,0.64054,0.08840,0.54394,0.44000,4.36516,0.14738,3.14753,2.58817,1.70042,0.30663,3.24158
0.57000,1.80811,2.12286,1.14588,7.17489,0.21086,0.40000,1.50717,1.13101,-0.17621,0.91800,1.57680,-1.58983,1.60810,1.98776,0.96969,1.28933,2.08268,2.52220,1.48468,2.75000,-0.45364,0.66225,1.07151,1.77852,1.12009,3.12986,1.80790
1.32000,0.09548,-0.19932,1.80828,38.28452,0.17959,0.94000,0.17639,2.35322,-0.48544,2.92939,3.42342,-0.72698,-0.84017,-0.41345,1.42014,0.98593,0.46408,0.36435,0.52749,-0.03000,2.86697,1.27924,3.71053,2.98860,1.48356,-0.67365,4.08525
-1.87000,1.24964,1.91097,-3.35973,67.32224,0.19608,-0.20000,0.49292,-7.32984,-4.34590,-5.03295,-6.07076,1.79007,1.77340,2.41573,-2.04009,-1.93181,1.56110,1.33299,1.40549,0.51000,-6.70462,-4.87189,-5.48889,-3.09467,-0.66708,-0.33911,-6.37712
2.26000,1.39439,1.09816,6.53424,36.79928,0.20008,0.74000,3.52659,6.20571,3.10617,5.91023,6.48959,7.91367,2.18780,0.82338,2.61758,3.15366,0.63991,2.44113,0.40826,0.95000,8.63545,4.46805,6.35949,4.80061,2.28310,1.84801,6.95927
0.53000,0.91990,0.18162,-1.67267,-9.84798,0.18225,0.27000,0.73160,-2.65672,-1.16907,-1.94736,0.06783,0.14815,-0.42630,-0.01343,0.48040,0.15636,0.42103,0.34979,0.73473,1.02000,-0.44565,-0.42140,-2.63218,1.25528,0.78757,0.37495,1.51195
-0.78000,2.17291,2.78130,-5.08183,-14.07625,0.17936,-0.54000,1.55085,-3.78262,-2.27480,-1.92397,-2.20987,7.69231,3.05394,3.35069,-1.39717,0.69010,2.03228,3.25227,1.52984,2.57000,-3.15189,-0.79117,-1.72454,-0.54143,0.65984,2.72693,-1.67434
-0.21000,-0.49563,-0.61176,1.47459,-9.64164,0.16052,0.26000,-1.09778,1.69196,1.48976,3.16406,2.24595,-3.15934,-1.38479,-0.83787,0.08187,0.44021,-0.36429,-0.59650,-0.76346,1.21000,5.70325,5.22997,2.60849,1.55032,0.60614,3.05840,1.94789
0.61000,-0.19924,0.20796,2.59334,5.00472,0.15134,0.11000,0.57724,4.18400,2.11009,3.38905,2.73898,2.55319,0.37446,0.00205,1.19253,-0.01057,0.15532,0.42590,0.29489,0.75000,0.17978,3.41911,3.60527,2.32479,0.53553,2.17237,2.21047
1.02000,0.03630,-0.03428,0.58836,-13.93885,0.13470,0.24000,-0.95064,-0.09394,-2.69542,1.12726,2.33602,-3.31950,-1.17515,-0.30069,1.33710,0.56639,0.46656,0.32461,0.05537,-0.81000,0.49117,1.27812,1.24916,2.39424,0.55483,-1.15023,3.61982
1.84000,-0.18142,-0.04742,2.37493,-14.42006,0.12699,1.30000,2.94858,7.71137,5.44783,2.98298,3.43302,3.71960,0.34919,-0.55470,2.15249,1.91173,0.11134,0.36303,0.26325,0.47000,3.31970,0.86407,4.13528,2.97812,2.03653,-0.24209,2.90335
-0.45000,1.67212,2.02901,-3.15335,33.08913,0.12885,0.46000,1.23953,-6.15110,-8.58144,-2.82258,-1.43849,4.62069,1.87153,2.48651,-0.75065,-0.46623,1.95160,2.22985,1.65921,0.87000,-2.26867,-2.51519,-3.15162,0.62916,0.35340,0.79652,-0.04039
-2.28000,0.73293,1.58514,-6.02141,-9.63303,0.12425,-0.31000,-1.25374,-3.77583,-5.69923,-7.76526,-7.48944,-0.65920,0.59084,2.47020,-3.35189,-1.28965,0.80694,0.96857,0.97334,-4.09000,-10.78801,-8.29437,-8.13544,-3.63761,-0.91735,-8.04598,-7.91658
-9.00000,-1.89885,-0.52672,-19.53014,-27.71574,0.06431,-10.43000,-14.97429,-15.76999,-16.04876,-14.10668,-13.40991,0.00000,1.04626,3.11999,-10.24724,-10.03103,-20.11535,-6.41918,-2.98128,-11.04000,-18.26976,-6.74094,-15.43801,-8.34282,-9.03283,-24.13018,-12.46425
4.55000,2.80391,1.71953,8.08021,38.62360,0.01970,2.22000,4.40439,7.35423,-1.81488,5.81743,9.82899,6.90113,0.69936,0.31172,5.45478,4.89892,5.26204,4.19406,-1.37167,5.37000,11.03161,4.79854,5.51939,7.98527,3.39036,6.31854,12.69835
2.38000,-0.16717,0.67282,1.33697,10.33435,0.01470,2.36000,6.27324,2.97489,5.36044,5.42691,5.09313,2.60708,-0.27059,-0.14888,2.63952,2.95459,5.93634,2.19327,3.76467,1.14000,4.53378,7.05178,5.36481,4.36984,3.99434,0.73674,4.76453
2.00000,0.41421,0.65884,8.52644,-11.79982,0.00975,2.70000,2.97450,6.61132,2.86550,3.50483,2.93483,2.78282,0.56073,0.13278,1.36352,-0.58687,2.98624,2.10978,0.36392,1.48000,1.22834,-0.08968,4.11342,3.06971,1.14414,2.65826,1.77609
2.97000,1.08829,1.33298,1.53421,33.42009,0.00869,1.55000,3.85614,8.25206,7.39056,1.93856,5.35811,11.00647,3.05783,1.13956,3.11248,5.05965,2.39995,2.86648,1.44582,2.40000,2.31632,-1.07429,3.24257,4.73813,4.17214,3.20881,5.88922
