Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
4.313168969,3.917979925,4.09696595,4.282157023,-22.08355341,3.606874065,2.623820895,0.780565048,5.182397653,1.524587461,3.908196612,2.161082855,2.495015453,5.293153144,3.48673604,5.053030307,3.87300659,4.680080275,5.671858768,7.439797524,1.941724395,0.75429297,5.103274922,3.774375711,5.748799628,6.453336669
0.285863452,0.871424807,0.789792398,-0.68747259,-35.75077098,0.926378052,-0.816241694,-3.958637148,-3.653104873,-0.89271116,0.106556206,-2.908492667,0.562057989,-0.150521057,0.784857368,1.033463552,0.350320586,0.824979894,3.26318638,0.209780299,-1.644403946,-0.570513897,1.389261595,1.296636481,3.053249766,0.64603734
1.079428224,0.530607883,0.601573531,2.503672583,20.64420304,1.248523604,3.17109785,4.10056621,-1.906604779,3.442544713,3.649637675,-1.726572837,-0.130550488,0.618173944,2.293865701,0.994673551,1.362849005,0.779895952,1.08938293,2.941730348,1.695377035,4.232844783,2.942035219,1.880950096,1.522784414,4.268124252
1.586949112,1.6313228,1.824392498,-0.65921971,-7.986037207,1.257492417,-1.087079112,-2.582583723,-0.742147789,-1.00364981,1.950853107,-0.807982407,1.166991478,1.836788254,1.962243205,1.787475523,1.792160517,1.413360879,2.992356251,1.412412355,0.726444853,-1.898592082,3.3657154,2.18256143,2.828703986,4.399587504
-0.806682911,-1.015101275,-1.16734857,-1.793488943,-18.48419351,0.002148699,1.465139022,-1.127137668,1.537511788,0.414276901,0.061474708,-1.156904455,-1.582887924,-1.251142199,-0.021882035,-1.467130579,-0.846053002,-1.229854945,-1.946095288,-2.059718277,2.847816763,-0.190707462,0.240735064,0.237104684,-2.684439543,0.046723547
-1.197744438,1.91952358,1.408069383,-6.53854133,-14.33076015,1.170679866,-0.492909863,-7.113641171,-0.503106855,-6.428854668,-5.669540503,4.132573999,1.253403913,-2.194080889,0.056893286,0.428901989,0.510200428,1.493403106,0.543210952,-6.305979973,-7.320497906,-5.981130975,-1.984714135,1.117516019,-1.373870523,-5.106229073
-0.237431225,0.487995021,0.655518793,3.506612058,-29.92914426,-0.599422571,-0.358582573,4.919809604,-0.77762094,0.62834736,1.706504246,0.475428885,0.501466237,-0.332080038,-0.268892563,0.224283524,-0.041527688,1.238138586,3.050292698,1.838630424,1.040863711,-0.035196833,1.187593236,-0.243412534,3.838871034,1.971190971
-2.622287077,1.436132021,1.921638007,-2.980372281,-23.03221382,-1.408543787,1.846163514,-3.600934024,-7.876595341,-5.538265258,-7.521393762,4.795062002,2.491036463,-3.303277835,-2.151830556,1.025263242,1.627786984,1.298304178,-4.769338386,-8.718147601,-8.043354341,-5.266999494,-4.087139316,-1.45232973,-6.708110248,-9.243733631
0.694735739,-1.640859578,-1.838650423,4.823217813,-2.116866393,-0.80436758,1.926719424,7.096998461,2.800116716,3.678668874,4.989939481,0.062635911,-1.57765181,1.271118799,2.080747896,-1.962112707,-0.39367813,-2.370102083,4.076516965,7.339573837,4.097316222,3.449287784,3.213021859,1.200141435,8.050765027,4.956771071
0.133575078,-1.16791863,-1.2809625,2.14779884,9.967836117,-0.341344188,-0.770509347,-2.711084421,0.028643922,1.337131346,1.268966657,-1.643728813,-2.057342301,0.1986166,0.039087653,-0.529421369,-1.079557679,-0.625452641,-0.7288838,3.104653099,-1.020647127,1.931092124,1.387323216,0.518201139,-0.861757781,2.022230659
